Agaricus arvensis     (Horse Mushroom)
Lactarius tabidus     (Birch Milkcap)
Lactarius torminosus     (Woolly Milkcap)
Lactarius trivialis     (Slimy Lead Lactarius)
Lactarius turpis     (Ugly Milkcap)
Lactarius volemus     (Luscious Lactarius)
Laetiporus sulphureus     (Chicken of the Woods)
Leccinum aurantiacum     (Orange Oak Bolete)
Leccinum scabrum     (Brown Birch Bolete)
Leccinum versipelle     (Orange Birch Bolete)
Lepista nuda     (Wood Blewit)
Lycoperdon excipuliforme     (Pistle-shaped Puffball)
Lycoperdon nigrescens     (Dusky Puffball)
Lycoperdon perlatum     (Common Puffball)
Lycoperdon pyriforme     (Stump Puffball)
Macrolepiota rachodes     (Shaggy Parasol Lepiota)
Macrolepiota procera     (Parasol Mushroom)
Marasmius oreades     (Fairy Ring Marasmius)
Megacollybia platyphylla     (Broad-gilled Collybia)
Melanoleuca cognata     (Spring Cavalier)
Morchella elata     (Black Morel)
Mycena galericulata     (Common Tufted Mycena)
Mycena pura     (Poison Radish Ground Mycena)
Otidea onotica     (Lemon-Peel Cup)
Paxillus atrotomentosus     (Velvet Pax)
Paxillus involutus     (Poison Pax)
Phallus rubicundus
Pholiota alnicola     (Alder Pholiota)
Pholiota aurivella     (Golden Scalycap)
Pholiota squarrosa     (Dry Scaly Pholiota)
Polyporus ciliatus     (Fringed Polypore)
Polyporus squamosus     (Dryad’s Saddle)
Psathyrella candolleana     (Common Park Psathyrella)
Psilocybe semilanceata     (Liberty Cap)
Rhizina undulata     (Pine firefungus)
Rickenella swartzii
Russula acrifolia
Russula aeruginea     (Tacky Green Russula)
Russula claroflava     (Graying Yellow Russula)
Russula decolorans     (Copper Brittlegill)
Russula emetica     (Emetic Russula)
Russula obscura
Russula paludosa     (Tall Bog Russula)
Russula xerampelina     (Crab Russula)
Sarcodon squamosus     (Scaly Tooth)
Strobilurus esculentus     (Distant-gill Cone Collybia)
Strobilurus stephanocystis
Stropharia hornemannii
Suillus bovinus     (Euro Cow Bolete)
Suillus grevillei     (Larch Bolete)
Suillus luteus     (Slippery Jack Bolete)
Suillus variegatus     (Variegated Bolete)
Tricholoma flavovirens     (Edible Yellow Trich)
Tricholoma focale
Tricholoma saponaceum     (Soapy Trich)
Tricholoma sejunctum     (False Edible Trich)
Tricholomopsis decora     (Yellow Rider)
Tricholomopsis rutilans     (Plums and Custard)
Turbinellus floccosus     (Scaly Chanterelle)
Tylopilus felleus     (Bitter Bolete)
